search_key,matched_name,Main Story (h),Main + Sides (h),Completionist (h),All Styles (h),Co-Op (h),Vs (h)
arma,KarmaZoo,9.2,0.0,31.6,20.4,0.0,0.0
sons of the forest,Sons of The Forest,15.64,25.01,52.19,23.48,27.36,13.0
counterstrike condition zero,Counter-Strike 2,121.25,365.22,770.33,414.3,305.67,723.15
cities skylines,Cities: Skylines,27.39,68.09,177.16,54.75,0.0,0.0
trove,Trove,51.67,97.71,944.62,170.56,325.45,107.03
sid meiers civilization,Sid Meier's Civilization VI,23.69,97.87,362.93,63.75,110.87,123.27
fallout,Fallout,16.26,22.9,32.39,21.87,0.0,0.0
sid meiers civilization i,Sid Meier's Civilization VI,23.69,97.87,362.93,63.75,110.87,123.27
life s strange,Life Is Strange,14.15,16.43,18.54,16.14,27.47,0.0
battlefield,Battlefield 6,5.61,7.54,10.95,6.36,0.0,30.01
repo,R.E.P.O.,7.09,9.45,14.89,9.47,7.96,0.0
dayz,DayZ,50.77,91.58,133.78,61.93,94.39,98.47
mount and blade i bannerlord,Mount & Blade: With Fire & Sword,25.61,65.86,143.41,40.03,0.0,0.0
satisfactory,Satisfactory,105.07,146.86,229.49,150.71,95.39,0.0
nba k0,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
warhammer 0000 rogue trader,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
castle crashers,Castle Crashers,7.18,13.08,37.23,10.51,9.98,41.98
ea sports fifa,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
risk of rain,Risk of Rain,4.57,21.86,51.09,17.33,11.77,0.0
planetside,PlanetSide,0.0,0.0,0.0,0.0,0.0,0.0
hearts of ron,Hearts of Iron IV,51.37,351.17,1070.74,263.89,1715.67,1723.0
geometry dash,Geometry Dash,23.6,232.43,1222.98,308.6,0.0,19.6
the elder scrolls skyrim special edition,The Elder Scrolls V: Skyrim - Special Edition,26.01,112.69,204.41,116.21,5.0,0.0
monster hunter rise,Monster Hunter Rise,23.13,79.92,181.99,57.85,86.64,58.18
no more room n hell,No More Room in Hell,19.81,27.1,70.37,42.22,23.5,0.0
no mans sky,No Man's Sky,31.61,76.27,156.75,73.37,55.82,5.2
the elder scrolls skyrim,The Elder Scrolls V: Skyrim - Special Edition,26.01,112.69,204.41,116.21,5.0,0.0
tomb raider,Tomb Raider,11.35,15.47,20.89,14.36,9.87,12.01
robocraft,Robocraft,58.13,194.83,0.0,82.56,20.64,39.73
hollow knight,Hollow Knight,26.8,41.47,64.5,41.41,27.52,0.0
war robots,War Robots,0.0,0.0,0.0,0.0,0.0,2.2
resident evil,Resident Evil,11.5,14.02,23.45,12.81,11.32,0.0
deceit,Deceit,3.8,8.75,43.33,8.08,4.62,15.65
beamngdrive,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
a story about my uncle,A Story About My Uncle,3.06,4.33,9.3,3.42,0.0,0.0
subnautica,Subnautica,29.99,42.59,52.55,41.79,29.69,0.0
guacamelee super turbo championship edition,Guacamelee!: Super Turbo Championship Edition,6.99,9.95,15.72,9.16,9.46,0.0
call of duty black ops ii,Call of Duty: Black Ops II,7.06,10.6,30.89,8.38,93.55,161.92
deathmatch classic,Deathmatch Classic,1.23,8.0,12.0,2.2,0.0,1.76
content warning,Content Warning,2.23,5.38,19.73,6.1,7.85,0.0
dirty bomb,Dirty Bomb,124.96,0.0,147.2,139.79,254.0,66.13
kathy rain,Kathy Rain,6.02,6.57,6.8,6.29,0.0,0.0
the binding of saac rebirth,The Binding of Isaac: Rebirth,5.63,97.36,373.11,123.77,510.02,0.0
fallout new egas,Fallout: New Vegas,26.84,60.08,131.45,57.51,0.0,0.0
scp secret laboratory,SCP: Secret Laboratory,15.0,22.97,158.0,95.16,1.15,32.78
black desert,Black Desert,95.84,287.31,2060.45,394.22,891.15,68.45
ultrakill,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
it takes two,It Takes Two,12.71,14.2,16.34,13.97,14.08,2.3
ea sports fc,EA Sports FC 24,32.94,104.34,150.0,71.77,59.5,266.25
sea of thieves 0 edition,Sea of Thieves,41.56,185.3,724.82,149.16,69.59,226.68
dota underlords,Dota Underlords,63.01,110.28,278.79,114.08,0.0,91.57
chivalry medieval warfare,Chivalry: Medieval Warfare,13.93,34.02,172.15,60.68,27.15,35.62
the elder scrolls online,The Elder Scrolls Online,47.94,199.2,527.03,181.47,110.43,87.89
call of duty modern warfare 009,Call of Duty,6.87,8.83,9.92,7.22,0.0,14.83
assetto corsa,Assetto Corsa,42.9,74.26,291.77,110.16,22.09,60.47
xcom,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
vampire survivors,Vampire Survivors,14.8,27.39,52.32,35.58,29.61,0.0
multiversus,MultiVersus,5.98,42.48,88.55,21.33,11.42,21.84
assassins creed black flag,Assassin's Creed IV: Black Flag,23.45,41.1,61.48,39.47,6.26,11.08
day of defeat,Day of Defeat,4.55,24.66,103.61,12.08,11.62,60.33
warhammer 0000 space marine,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
europa universalis,Europa Universalis,20.0,24.78,0.0,23.41,0.0,0.0
clicker heroes,Clicker Heroes,298.73,786.42,1149.21,824.42,0.0,118.0
thehunter classic,theHunter Classic,0.0,0.0,0.0,0.0,0.0,0.0
kurtzpel,KurtzPel,3.84,0.0,0.0,3.84,0.0,0.0
doom,Doom,11.59,16.42,27.1,14.54,4.59,7.99
crab game,Crab Game,2.19,5.34,21.98,6.12,0.0,2.98
evolve stage,Evolve: Stage 2,16.73,0.0,0.0,16.73,800.0,18.5
blender,Blender Bros.,1.76,2.88,4.12,2.6,0.0,0.0
devil may cry,Devil May Cry,6.22,8.37,17.26,6.96,6.0,0.0
star wars the old republic,Star Wars: Knights of the Old Republic,29.13,36.53,48.3,36.33,0.0,0.0
life s strange episode,Life Is Strange: Before the Storm - Bonus Episode: Farewell,1.09,1.35,1.42,1.27,0.0,0.0
forza horizon,Forza Horizon,15.73,20.54,27.94,19.22,0.0,10.22
hades,Hades,23.18,48.63,95.24,43.63,0.0,0.0
battlebit remastered,BattleBit Remastered,21.0,33.44,0.0,30.87,11.0,30.51
factorio,Factorio,49.94,92.04,219.33,72.92,66.84,10.0
company of heroes,Company of Heroes,19.33,27.48,77.55,23.39,61.83,77.4
age of empires i retired,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
realm royale,Realm Royale,5.0,18.61,20.4,17.84,0.0,14.3
total war warhammer i,Total War: Warhammer III,34.03,111.97,507.64,101.14,21.75,76.5
halo the master chief collection,Halo: The Master Chief Collection,43.04,70.5,307.94,58.45,42.53,65.98
