search_key,matched_name,Main Story (h),Main + Sides (h),Completionist (h),All Styles (h),Co-Op (h),Vs (h)
myst,Myst,5.5,5.6,6.51,5.72,0.0,0
spellforce conquest of eo,SpellForce: Conquest of Eo,24.8,56.52,238.45,66.27,0.0,0
zengeon,Zengeon,1.59,2.0,12.0,2.9,0.0,0
maui,Maui,0.4,0.0,0.61,0.59,0.0,0
sonic 0 shadow generations,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
real boxing,Real Boxing,4.17,5.2,6.56,5.43,0.0,0
beast saga,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
cubee,Cube,0.0,0.0,0.0,0.0,0.0,0
bear with me episode one,Bear With Me,7.37,8.63,10.0,8.5,0.0,0
fuse,Fuse,8.47,10.84,13.87,8.72,8.15,0
battleworks r online physics based pvp,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
the space bar,The Space Bar,0.0,0.0,0.0,0.0,0.0,0
tengami,Tengami,1.43,1.44,1.52,1.44,0.0,0
zoo tycoon ultimate animal collection,Zoo Tycoon: Ultimate Animal Collection,14.16,18.07,77.98,23.0,7.37,0
elisa the nnkeeper prequel,Elisa: The Innkeeper - Prequel,1.02,1.02,1.03,1.04,0.0,0
twisted worlds,Hidden Numbers: Twisted Worlds,0.0,0.0,0.0,0.0,0.0,0
simutrans,Simutrans,0.0,0.0,0.0,0.0,0.0,0
the next big thing,The Next BIG Thing,6.13,7.36,7.74,6.9,0.0,0
this bed we made,This Bed We Made,4.47,5.79,10.45,5.27,0.0,0
deitrus,Deitrus,0.0,0.0,0.0,0.0,0.0,0
zodiakalik,Zodiakalik,7.5,11.5,17.5,11.83,0.0,0
drpg,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
super woden gp,Super Woden GP,18.0,0.0,19.0,18.33,0.0,0
between me and the night,Between Me and the Night,3.11,3.19,4.45,3.55,0.0,0
forgotton anne,Forgotton Anne,7.39,8.75,9.71,8.21,0.0,0
worlds dawn,World's Dawn,30.83,32.0,56.74,46.48,0.0,0
nerts online,NERTS! Online,0.25,0.0,0.0,0.25,0.0,0
aviary attorney,Aviary Attorney,4.56,6.21,7.98,5.6,0.0,0
explosiver,Explosiver,0.0,0.0,0.25,0.25,0.0,0
spy alliance,Spy Alliance,0.0,0.0,0.0,0.0,0.0,0
fighting fantasy classics,Fighting Fantasy Classics,0.0,0.0,13.87,13.87,0.0,0
qorena,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
imperium galactica i,Imperium Galactica,0.0,59.88,0.0,59.88,0.0,0
the sexy brutale,The Sexy Brutale,5.92,7.18,8.5,7.22,0.0,0
sketch run,Sketch! Run!,0.0,0.0,0.0,0.0,0.0,0
dariusburst chronicle saviours,DARIUSBURST: Chronicle Saviours,0.76,12.0,265.25,11.4,0.0,0
oddworld soulstorm enhanced edition,Oddworld: Soulstorm,18.67,27.09,32.56,24.18,0.0,0
order of war,Order of War,19.16,0.0,106.7,36.67,0.0,0
wigmund,Wigmund,10.11,10.68,19.11,12.54,0.0,0
chuzzle deluxe,Chuzzle,5.0,8.04,10.4,7.44,0.0,0
swing dunk,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
kairo,Kairo,3.28,3.38,4.0,3.65,4.0,0
anima the reign of darkness,Anima: The Reign of Darkness,14.72,0.0,0.0,14.72,0.0,0
day sland,Holiday Island,0.0,0.0,0.0,0.0,0.0,0
men of war red tide,Men of War: Red Tide,26.99,30.9,42.0,29.09,0.0,0
orborun,Orborun,1.83,2.58,0.0,2.24,0.0,0
sairento r,Sairento VR,2.11,4.75,0.0,2.52,0.0,0
gods and dols,Gods and Idols,0.0,0.0,0.0,0.0,0.0,0
fears to fathom woodbury getaway,Fears to Fathom - Woodbury Getaway,2.08,2.26,2.73,2.12,0.0,0
atari ault,Atari Vault,0.0,0.0,0.0,0.0,0.0,0
fairy tail,Fairy Tail,23.45,31.0,45.99,33.15,0.0,0.0
trust no one,Trust No One,0.0,0.82,1.0,0.91,0.0,0.0
red death,Red Death,0.83,0.0,1.17,1.07,0.0,0.0
get to work,Get To Work,8.54,8.84,15.05,10.15,0.0,0.0
tavern of empire,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
their land,Their Land,2.73,2.85,0.0,2.77,0.0,0.0
angvik,Angvik,1.31,6.18,8.18,4.84,0.0,0.0
ii,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
are you ready for alve ndex,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
the matriarch,The Matriarch,2.32,4.32,0.0,3.32,4.32,0.0
house of the dying sun,House of the Dying Sun,2.73,4.27,11.43,4.07,0.0,0.0
phoenix force,Phoenix Force,3.97,6.31,7.9,6.74,0.0,0.0
tenrow,Tenrow,1.06,0.0,1.2,1.12,0.0,0.0
dead rising deluxe remaster,Dead Rising Deluxe Remaster,9.88,12.82,22.79,12.73,0.0,0.0
slender the arrival,Slender: The Arrival,2.1,2.83,7.33,2.85,3.26,0.0
ukrainian ninja,Ukrainian Ninja,1.65,0.0,0.0,1.65,0.0,0.0
rip trilogy,Conscript,11.84,16.28,24.29,15.25,0.0,0.0
tortuga a pirates tale,Tortuga - A Pirate's Tale,13.07,30.0,0.0,21.53,0.0,0.0
rogue lords,Rogue Lords,24.98,27.0,46.54,35.75,0.0,0.0
luna the shadow dust,LUNA: The Shadow Dust,3.05,3.3,4.41,3.58,0.0,0.0
fights n tight spaces,Fights In Tight Spaces,10.23,22.53,44.18,13.67,0.0,0.0
ramify,Ramify,0.0,0.0,0.0,0.0,0.0,0.0
cricket 9,Ashes Cricket 2009,13.81,17.0,40.0,23.7,0.0,25.0
nobunagas ambition awakening,Nobunaga's Ambition: Awakening,30.48,125.0,0.0,49.87,0.0,0.0
oceans heart,Ocean's Heart,10.25,11.41,12.72,11.64,0.0,0.0
faces of war,Faces of War,29.9,30.48,31.4,30.73,9.68,0.0
dead pixels,Dead Pixels,2.03,3.62,14.66,2.87,3.33,0.0
taxi life a city driving simulator,Taxi Life: A City Driving Simulator,15.59,30.0,32.0,22.81,0.0,0.0
enigmoon,Enigmoon,0.85,2.0,0.0,1.13,0.0,0.0
cooking simulator r,Cooking Simulator,8.51,11.74,17.35,11.22,0.0,0.0
first class trouble,First Class Trouble,0.64,0.0,25.01,13.64,23.47,13.99
stasis bone totem,Stasis: Bone Totem,11.53,15.04,19.08,13.26,0.0,0.0
frosty kiss,Frosty Kiss,0.49,0.67,0.73,0.69,0.0,0.0
jackpot poker by pokerstars,Jackpot Poker by PokerStars,0.0,0.0,0.0,0.0,0.0,0.0
thorne death merchants,Thorne: Death Merchants,2.51,2.67,3.71,3.3,0.0,0.0
dwarven realms,Dwarven Realms,18.15,0.0,0.0,18.15,0.0,0.0
klocki,klocki,1.06,1.12,1.18,1.16,0.0,0.0
thats mahjong,That's Mahjong!,0.0,0.0,0.82,0.82,0.0,0.0
thrive,Thrive,0.0,0.0,0.0,0.0,0.0,0.0
star trek resurgence,Star Trek: Resurgence,10.64,11.78,16.77,11.02,0.0,0.0
perseverance mission astronaut charlie,Perseverance Mission - Astronaut Charlie,0.0,0.0,0.0,0.0,0.0,0.0
diaries of a spaceport janitor,Diaries of a Spaceport Janitor,7.61,10.23,17.43,9.49,0.0,0.0
voices from the sea,Voices from the Sea,0.73,0.94,1.16,0.98,0.0,0.0
crimzon clover world gnition,Crimzon Clover: World Ignition,1.05,5.29,13.03,1.88,0.85,0.0
star wolves civil war,Star Wolves 3: Civil War,0.0,28.0,89.65,38.21,0.0,0.0
sanitarium,Sanitarium,8.84,9.64,9.88,9.35,0.0,0.0
star command 9,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
the nvisible hand,The Invisible Hand,3.57,7.0,14.0,3.99,0.0,0.0
martha s dead,Martha is Dead,6.28,6.97,8.16,6.84,0.0,0.0
one manga day,One Manga Day,0.47,0.65,0.81,0.74,0.0,0.0
rise of liberty,Rise of Liberty,0.0,0.0,0.0,0.0,0.0,0.0
00 doors game escape from school,100 Doors Games: Escape From School,5.0,5.12,9.06,5.54,0.0,0.0
new tales from the borderlands,New Tales from the Borderlands,9.68,11.08,19.97,10.39,0.0,0.0
project snowblind,Project: Snowblind,5.74,5.77,6.36,5.79,0.0,0.0
drift horizon online,Drift Horizon Online,0.0,0.0,0.0,0.0,0.0,0.0
myth survivor,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
last room,Last Room,1.5,0.0,9.75,5.62,0.0,0.0
gigantic rampage edition,Gigantic,23.2,0.0,0.0,23.2,0.0,16.2
the average everyday adventures of samantha browne,The Average Everyday Adventures of Samantha Browne,0.4,0.47,0.88,0.72,0.0,0.0
tales of hongyuan,Tales of Hongyuan,0.0,0.0,0.0,0.0,0.0,0.0
archean,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
dungeon crawler,Indeep - The Casual Dungeon Crawler,0.0,0.0,0.0,0.0,0.0,0.0
street fighter 0 tekken,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
heave ho,Heave Ho,3.98,7.5,13.11,5.23,7.41,0.0
sentience the androids tale,Sentience: The Android's Tale,5.17,8.33,11.83,8.76,0.0,0.0
coldage,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
doorways old prototype,Doorways: Old Prototype,0.52,0.62,0.69,0.55,0.0,0.0
yesterday origins,Yesterday Origins,8.16,9.53,10.86,9.31,0.0,0.0
there was a caveman,There was a Caveman,2.21,4.92,0.0,3.87,0.0,0.0
hearts of ron complete,Hearts of Iron II: Complete,32.68,51.67,160.33,56.93,0.0,0.0
secret agent allan martin n phoenix erupting,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
shadow ninja apocalypse,Shadow Ninja: Apocalypse,1.08,0.0,1.77,1.23,0.0,0.0
the zombies horror,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
once a stray,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
hidden through time,Hidden Through Time,3.09,4.27,5.38,4.5,0.0,0.0
heading out,Heading Out,5.59,6.46,0.0,5.74,0.0,0.0
life s strange double exposure,Life Is Strange: Double Exposure,11.11,14.42,20.46,13.56,0.0,0.0
pixel puzzles traditional jigsaw puzzles,Pixel Puzzles Traditional Jigsaws,17.37,40.0,319.0,82.73,0.0,0.0
glass masquerade llusions,Glass Masquerade 2: Illusions,8.02,9.92,19.74,13.59,0.0,0.0
action henk,Action Henk,3.88,6.95,20.2,6.32,0.0,0.0
chasing tails a promise n the snow,Chasing Tails: A Promise in the Snow,2.25,3.09,3.91,3.06,0.0,0.0
lumberjacks dynasty,Lumberjack's Dynasty,55.33,100.0,160.45,92.81,0.0,0.0
plunder ball,Plunderball,0.0,0.0,0.0,0.0,0.0,0.0
hyper light breaker,Hyper Light Breaker,6.0,0.0,0.0,6.0,0.0,0.0
cubepuzzle,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
batman arkham r,Batman: Arkham Asylum GOTY,11.09,15.52,25.3,14.3,3.51,0.0
deadliest catch the game,Deadliest Catch: The Game,5.6,0.0,0.0,5.6,0.0,0.0
cargo commander,Cargo Commander,11.85,21.03,29.88,16.06,0.0,0.0
rogue reaper,Rogue Reaper,0.33,0.34,0.93,0.45,0.0,0.0
duck season pc,Duck Season PC,1.15,2.55,4.11,2.26,0.0,0.0
we heist too,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
rocket arena,Rocket Arena,10.08,20.85,49.31,38.99,0.0,4.1
space pilgrim episode sol,Space Pilgrim: Episode Four - Sol,2.83,3.06,3.93,3.45,0.0,0.0
cat on a diet,Cat on a Diet,2.33,2.61,5.38,3.85,0.0,0.0
the dig,The Dig,7.02,7.6,7.78,7.23,0.0,0.0
the house of the dead remake,The House of the Dead: Remake,0.78,2.56,6.14,1.13,1.24,0.0
darkhouse,DarkHouse,1.0,0.0,0.0,1.0,0.0,0.0
killrun,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
builder simulator,Builder Simulator,6.35,13.81,16.95,12.28,0.0,0.0
age of fear the free world,Age of Fear: The Free World,0.0,0.0,0.0,0.0,0.0,0.0
the wonderful end of the world,The Wonderful End of the World,1.62,2.3,3.29,2.28,0.0,0.0
redemption eternal quest,Redemption: Eternal Quest,0.0,0.0,0.0,0.0,0.0,0.0
only up with friends,Only Up: With Friends,0.0,0.0,0.0,0.0,0.0,0.0
pretty neko,Pretty Neko,0.16,0.2,0.29,0.25,0.0,0.0
home design d,Castaway Home Designer,0.0,0.0,0.0,0.0,0.0,0.0
time warpers,Time Warpers,0.0,0.0,0.0,0.0,0.0,0.0
unholy heights,Unholy Heights,10.11,11.46,24.82,12.12,0.0,0.0
grey hack,Grey Hack,0.0,0.0,0.0,0.0,0.0,0.0
nuclear option,Nuclear Option,0.0,0.0,0.0,0.0,0.0,0.0
ark the lost fairytale,Dark Souls III,31.39,48.16,100.69,49.86,47.35,47.48
snow strike,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
dungeonparty,Dungeon,0.0,0.0,0.0,0.0,0.0,0.0
medal of honor above and beyond,Medal of Honor: Above and Beyond,10.12,15.5,15.58,11.52,0.0,2.0
east trade tycoon nheritance,East Trade Tycoon: Inheritance,0.0,0.0,6.15,6.15,0.0,0.0
raging loop,Raging Loop,25.26,35.46,42.72,33.68,0.0,0.0
wonder boy the dragons trap,Wonder Boy: The Dragon's Trap,5.07,5.85,7.6,5.93,0.0,0.0
nokbak,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
thunder wolves,Thunder Wolves,3.5,6.52,15.83,4.3,3.48,0.0
avalon lords dawn rises,Avalon Lords: Dawn Rises,0.0,0.0,0.0,0.0,0.0,0.0
starbase gunship,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
die by the blade,Die by the Blade,0.0,0.0,0.0,0.0,0.0,0.0
ni no kuni wrath of the white witch remastered,Ni no Kuni: Wrath of the White Witch,44.08,56.2,91.86,55.79,0.0,0.0
vertical drop heroes hd,Vertical Drop Heroes HD,5.33,10.76,14.97,10.31,0.0,0.0
parquet,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
zoonomaly,Zoonomaly,4.83,0.0,0.0,4.83,0.0,0.0
hundred days winemaking simulator,Hundred Days - Winemaking Simulator,3.2,11.12,27.29,7.42,0.0,0.0
lastcloudia,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
no one lives under the lighthouse directors cut,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
double dragon,Double Dragon,1.11,2.14,3.07,1.26,0.61,0.0
act of war direct action,Act of War: Direct Action,11.78,12.28,12.4,11.99,0.0,0.0
pobeda,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
astralis,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
the fishing club d coop sport angling,The Fishing Club 3D,0.0,0.0,0.0,0.0,0.0,0.0
standable full body estimation,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
escape from school,Escape from School,1.21,0.0,1.29,1.27,1.32,0.0
the cost of bliss,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
mini guns omega wars,Mini Guns - Omega Wars,0.0,0.0,0.0,0.0,0.0,0.0
escape r,Escape Simulator,7.61,11.41,14.61,10.97,12.45,0.0
gunnheim,Gunnheim,0.0,0.0,0.0,0.0,0.0,0.0
goat of duty,Goat of Duty,1.77,0.0,38.35,18.6,0.0,1.06
cryengine,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
xenobox r,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
brothers n arms earned n blood,Brothers in Arms: Earned in Blood,6.99,9.07,14.31,7.58,0.0,0.0
space commander war and trade,Space Commander: War and Trade,2.6,0.0,0.0,2.6,0.0,0.0
abrix diamond ersion,Abrix the Robot,0.0,0.0,2.78,2.78,0.0,0.0
drift ce,Drift Experience Japan,0.0,0.0,0.0,0.0,0.0,0.0
marvel end time arena,Marvel End Time Arena,0.0,0.0,0.0,0.0,0.0,0.0
deadlight directors cut,Deadlight,4.06,5.27,7.63,4.73,0.0,0.0
poker legends texas holdem poker tournaments,Poker Legends: Texas Hold'em Poker Tournaments,0.0,0.0,0.0,0.0,0.0,0.0
ragnarock,Ragnaröck,3.19,10.0,18.45,7.07,0.0,0.0
find the murderer,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
super blue fighter,Super Blue Fighter,0.0,2.4,0.0,2.4,0.0,0.0
lens sland,Len's Island,14.24,23.34,35.6,24.42,22.36,0.0
thief simulator r,Thief Simulator,13.0,17.8,28.03,19.18,0.0,0.0
life forge reborn orpg,Life Forge ORPG,0.0,0.0,0.0,0.0,0.0,0.0
field of glory i,Field of Glory II: Medieval,15.0,15.71,32.19,19.47,0.0,0.0
epic cards battletcg,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
therian saga,Therian Saga,0.0,0.0,0.0,0.0,0.0,0.0
bug fables the everlasting sapling,Bug Fables: The Everlasting Sapling,25.64,36.42,51.0,38.14,0.0,0.0
beacon pines,Beacon Pines,5.6,6.24,6.67,6.3,0.0,0.0
wasteland express,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
night raider,Night Raider,0.0,0.0,0.0,0.0,0.0,0.0
taiku mansion,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
mandew s the colorless curse,Mandew vs the Colorless Curse,1.32,2.33,10.83,3.26,0.0,0.0
kingspray graffiti r,Kingspray Graffiti,0.0,0.0,0.0,0.0,0.0,0.0
dawn of discovery,Anno 1404,18.03,36.32,127.63,29.7,0.0,0.0
ai roguelite,AI Roguelite,0.0,0.0,0.0,0.0,0.0,0.0
basement,Basement,9.53,25.17,27.8,20.7,0.0,0.0
drake hollow,Drake Hollow,12.52,16.73,22.65,15.21,15.31,0.0
unmechanical,Unmechanical,2.62,3.23,4.15,3.25,0.0,0.0
the list,The List,2.4,2.89,3.61,3.4,0.0,0.0
dangerous golf,Dangerous Golf,7.76,0.0,32.12,9.07,0.0,0.0
metal slug 0x,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
avatar frontiers of pandora,Avatar: Frontiers of Pandora,23.29,42.05,81.12,44.03,53.58,0.0
camp canyonwood,Camp Canyonwood,0.0,0.0,0.0,0.0,0.0,0.0
ct special forces fire for effect,CT Special Forces: Fire for Effect,6.52,9.67,11.62,9.44,0.0,0.0
star traders frontiers,Star Traders: Frontiers,25.83,35.47,104.5,45.04,0.0,0.0
traveler of wuxia,Traveler of Wuxia,6.9,0.0,0.0,6.9,0.0,0.0
valand,Vivaland: Dream House,2.09,0.0,0.0,2.09,0.0,0.0
amnesia memories,Amnesia: Memories,7.77,23.07,35.05,27.67,0.0,0.0
c kane,C. Kane,1.98,3.5,0.0,2.34,0.0,0.0
void scrappers,Void Scrappers,2.93,13.13,13.57,11.1,0.0,0.0
whisper trip,Whisper Trip,0.0,0.0,0.0,0.0,0.0,0.0
lili child of geos complete edition,Lili,3.0,5.0,6.12,4.19,0.0,0.0
the blackout club,The Blackout Club,7.21,7.43,40.95,9.55,18.81,0.0
the land of pain,The Land of Pain,3.49,3.87,3.96,3.87,0.0,0.0
rollers of the realm,Rollers of the Realm,5.51,7.72,13.14,6.61,0.0,0.0
die pig die,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
trigon space story,Trigon: Space Story,0.0,0.0,0.0,0.0,0.0,0.0
silent hunter wolves of the pacific,Silent Hunter: Wolves of the Pacific,35.0,84.05,0.0,51.35,0.0,0.0
kalaban,Kalaban,2.98,3.0,0.0,2.99,0.0,0.0
software nc,Software Inc.,21.0,22.88,35.17,24.66,0.0,0.0
clickdraw clicker,Clickdraw Clicker,0.0,12.5,14.77,14.66,0.0,0.0
the hong kong massacre,The Hong Kong Massacre,3.97,5.55,9.64,4.67,0.0,0.0
how do you do t,Shower With Your Dad Simulator 2015,1.89,1.93,5.47,2.71,0.0,0.0
battletronics,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0.0
madison,Madison VR,0.0,0.0,0.0,0.0,0.0,0.0
destroy all humans clone carnage,Destroy All Humans! - Clone Carnage,0.64,5.46,7.05,4.74,7.13,3.87
metaghost the breaking show,unMetal,9.95,11.19,13.77,10.73,0.0,0.0
yiik a postmodern rpg,YIIK: A Postmodern RPG I.V,0.0,31.19,37.27,34.8,0.0,0.0
gunjitsu,Gunjitsu,0.0,0.0,0.0,0.0,0.0,0
buy a croquette,Buy a Croquette!,0.0,0.0,4.8,4.8,0.0,0
after the fall,After the Fall,3.86,6.66,43.76,15.24,5.0,0
war tech fighters,War Tech Fighters,0.0,0.0,14.1,14.1,0.0,0
xombee mpfps,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
neon drive,Neon Drive,1.93,5.7,15.8,3.04,0.0,0
timeshift,TimeShift,7.88,8.88,9.11,8.0,0.0,0
towers of aghasba,Towers of Aghasba,30.0,47.1,0.0,38.55,0.0,0
crashbots,Crashbots,0.0,17.0,0.0,17.0,0.0,0
post trauma,Post Trauma,6.13,6.17,6.57,6.25,0.0,0
slime and friends,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
stay close,Stay Close,2.67,4.47,0.0,2.98,2.84,0
bladed fury,Bladed Fury,3.24,3.74,7.49,3.61,0.0,0
evil defenders,Evil Defenders,15.65,32.96,47.5,32.36,0.0,0
pixel noir,Pixel Noir,0.0,30.7,0.0,30.7,0.0,0
the sacrificial girl of the fantasy kingdoms,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
once upon a dungeon i,Once Upon A Dungeon II,0.0,0.0,0.0,0.0,0.0,0
post mortem,Post Mortem,6.49,8.23,8.31,7.29,0.0,0
mega man zerozx legacy collection,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
gaia beyond,Gaia Beyond,0.0,0.0,0.0,0.0,0.0,0
roshambo,RoShamBo Arena,0.0,0.0,0.0,0.0,0.0,0
sky to fly faster than wind,Sky to Fly: Faster than Wind,0.0,0.0,0.0,0.0,0.0,0
phoning home,Phoning Home,7.84,10.25,12.85,9.22,0.0,0
endless railway,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
smart factory tycoon beginnings,Smart Factory Tycoon: Beginnings,0.48,0.0,0.82,0.7,0.0,0
analogue a hate story,Analogue: A Hate Story,3.08,5.0,6.18,4.71,0.0,0
frozen synapse prime,Frozen Synapse Prime,17.52,18.0,33.6,21.63,0.0,0
enigmatis the mists of ravenwood,Enigmatis: The Mists of Ravenwood,4.14,5.15,6.98,5.47,0.0,0
ghost 0,Ghost 1.0,12.87,14.66,20.28,13.8,0.0,0
sword and fairy nn,Sword and Fairy Inn 2,0.0,0.0,0.0,0.0,0.0,0
solar,Solar,0.0,0.0,0.0,0.0,0.0,0
wingspan,Wingspan,1.88,11.74,70.77,10.61,0.0,0
mortal glory,Mortal Glory,2.03,0.0,0.0,2.03,0.0,0
disneypixar cars,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
portal dungeon,Portal Dungeon,2.94,9.17,0.0,4.01,0.0,0
cat quest ii,Cat Quest II,7.57,9.55,12.8,10.68,12.76,0
goblin stone,Goblin Stone,23.48,0.0,0.0,23.48,0.0,0
lizard survivors battle for hyperborea,Lizard Survivors: Battle for Hyperborea,1.33,1.77,4.08,2.25,0.0,0
cyber city the isual novel,Alice in CyberCity,0.17,0.0,0.0,0.17,0.0,0
broken reality,Broken Reality,7.13,7.42,8.81,7.59,0.0,0
zompiercer,Zompiercer,0.0,0.0,0.0,0.0,0.0,0
i am fish,I Am Fish,6.28,9.19,14.37,7.14,0.0,0
warmachine tactics,Warmachine: Tactics,29.35,0.0,0.0,29.35,0.0,0
icons legacy edition,Icons: Combat Arena,1.21,0.0,0.0,1.21,0.0,0
marine sharpshooter i jungle warfare,Marine Sharpshooter II: Jungle Warfare,4.26,7.0,0.0,4.46,0.0,0
dogfighter,DogFighter,1.13,8.97,19.0,6.31,0.0,0
heartbound,Heartbound,2.28,2.43,3.37,2.95,0.0,0
fieldrunners,Fieldrunners,7.29,21.0,56.5,9.82,0.0,0
longvinter,Longvinter,0.0,0.0,52.03,52.03,0.0,0
maitetsulast run,Maitetsu,16.88,34.74,38.97,24.58,0.0,0
world of subways london underground circle line,World of Subways 3 - London Underground Circle Line,0.0,0.0,0.0,0.0,0.0,0
nam,Nam,3.22,0.0,6.0,3.51,0.0,0
the novelist,The Novelist,2.36,2.96,3.08,2.58,2.6,0
crumble,Crumble,2.83,3.79,7.65,3.41,0.0,0
mothergunship,Mothergunship,4.31,10.31,16.21,8.31,7.51,0
drekirokr dusk of the dragon,Drekirokr - Dusk of the Dragon,0.0,0.0,0.0,0.0,0.0,0
variant,Galak-Z: Variant S,9.29,0.0,0.0,9.29,0.0,0
inbento,inbento,3.2,3.77,4.29,4.03,0.0,0
metel horror escape,Metel - Horror Escape,5.6,6.38,14.5,7.67,0.0,0
hexen i,Hexen: Beyond Heretic,10.06,10.71,11.69,10.45,0.48,0
ty the tasmanian tiger,Ty the Tasmanian Tiger,8.96,11.02,14.65,11.79,0.0,0
pink hour,Pink Hour,0.18,0.26,0.54,0.22,0.0,0
gibz,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
for the glory a europa universalis game,For The Glory: A Europa Universalis Game,14.71,0.0,0.0,14.71,0.0,0
blind fate edo no yami dojo,Blind Fate: Edo no Yami - Dojo,0.69,0.0,0.7,0.69,0.0,0
legion war,Legion War,0.0,0.0,0.0,0.0,0.0,0
darkwind war on wheels,Darkwind: War on Wheels,0.0,0.0,0.0,0.0,0.0,0
spirit messages,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
rebuild gangs of deadsville,Rebuild 3: Gangs of Deadsville,30.65,37.23,41.0,34.5,0.0,0
groove coaster,Groove Coaster,0.23,3.88,0.0,2.06,0.0,0
towns,Towns,16.2,0.0,0.0,16.2,0.0,0
haste,Space Haste 2,0.0,0.0,0.0,0.0,0.0,0
mysteria occult shadows,Mysteria: Occult Shadows,3.32,4.0,5.3,3.97,0.0,0
the house n fata morgana,The House in Fata Morgana,29.51,31.79,35.24,32.26,0.0,0
affogato,Affogato,8.12,15.26,0.0,13.87,0.0,0
death to spies,Death to Spies,12.61,14.85,17.18,13.49,0.0,0
ancient planet tower defense,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
dungeons and degenerate gamblers,Dungeons & Degenerate Gamblers,5.07,23.67,0.0,6.33,0.0,0
vectromirror 0,Vectromirror 0,0.44,0.0,0.0,0.44,0.0,0
caravaneer,Caravaneer 2,0.0,36.42,0.0,36.42,0.0,0
arcade game series pacman,Dig Dug,0.91,1.96,4.23,1.55,0.0,0
staffer case a supernatural mystery adventure,Staffer Case: A Supernatural Mystery Adventure,12.57,14.76,15.06,14.69,0.0,0
lovelorn sanatorium,Lovelorn SanatoriumⅠ,0.0,0.0,0.0,0.0,0.0,0
the count lucanor,The Count Lucanor,3.53,4.08,5.99,4.24,0.0,0
ultratron,Ultratron,2.18,4.52,4.63,3.74,0.0,0
syder arcade,Syder Arcade,2.24,4.06,5.47,3.53,0.0,0
lets school homeroom,Let's School Homeroom,2.5,0.0,3.3,2.86,0.0,0
mass builder,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
epic arena,Epic Arena,6.2,0.0,0.0,6.2,0.0,0
pools,Lavapools,0.0,0.0,0.0,0.0,0.0,0
octogeddon,Octogeddon,8.53,0.0,0.0,8.53,0.0,0
revhead,Revhead,0.0,0.0,0.0,0.0,0.0,0
warspace,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
mutilateadoll,Mutilate-a-Doll 2,0.0,0.0,0.0,0.0,0.0,0
ded,Enshrouded,48.39,59.27,80.03,64.99,65.37,0
kletka,N/A - No Match,0.0,0.0,0.0,0.0,0.0,0
